date,gross,net,vt,turnover,scale
2017-07-19,0.0067536898792089845,0.0067536898792089845,0.009713538382056373,0.0,1.4382565021173368
2017-07-20,-2.1479929779890316e-05,-2.1479929779890316e-05,-3.073992062104554e-05,0.0,1.431099679377188
2017-07-21,-0.001953092538986869,-0.001953092538986869,-0.0028432156338161142,0.0,1.4557505991451793
2017-07-24,0.0015540594880756916,0.0015540594880756916,0.0022608143926961563,0.0,1.454779826669056
2017-07-25,0.002071474379104035,0.002071474379104035,0.0030333272743192875,0.0,1.4643325087280483
2017-07-26,0.0026770255218583807,0.0026770255218583807,0.0039227300785852955,0.0,1.465331595293179
2017-07-27,-0.003247050599336172,-0.003247050599336172,-0.004754003362679031,0.0,1.4640989467952672
2017-07-28,-0.0006007626028111343,-0.0006007626028111343,-0.0008778182542674888,0.0,1.4611732657125038
2017-07-31,-0.0005288203150235206,-0.0005288203150235206,-0.0007782417621978986,0.0,1.4716563265223357
2017-08-01,0.001965175930576811,0.000525151829566076,0.0007731955159945926,1.2000200841756126,1.4723275678835033
2017-08-02,6.635016296424687e-05,6.635016296424687e-05,9.76911155219957e-05,0.0,1.4723568286431648
2017-08-03,-0.0022588969224824687,-0.0022588969224824687,-0.00332960977766875,0.0,1.473998102582563
2017-08-04,0.0012470031584751505,0.0012470031584751505,0.001846034262431947,0.0,1.4803765731349858
2017-08-07,0.003704841168281941,0.003704841168281941,0.00556534174961283,0.0,1.5021809294441806
2017-08-08,-0.002194162299244049,-0.002194162299244049,-0.003316094628132218,0.0,1.511326044237797
2017-08-09,-0.0016497856923076647,-0.0016497856923076647,-0.002495968374126037,0.0,1.5129046068006327
2017-08-10,-0.014753131071907833,-0.014753131071907833,-0.022303278293255655,0.0,1.511765752269661
2017-08-11,0.003246339025591215,0.003246339025591215,0.004599311209331922,0.0,1.416768603979773
2017-08-14,0.008869398433232659,0.0074293743322219235,0.010501858282312522,1.2000200841756128,1.413558909902404
2017-08-15,-0.0019716890463997994,-0.0019716890463997994,-0.0027683948915453297,0.0,1.404072765226481
2017-08-16,0.0038517640125766495,0.0038517640125766495,0.005399988594695208,0.0,1.4019520866448067
2017-08-17,-0.015490523489203996,-0.016224638933954153,-0.024276113018565283,0.6117628706251305,1.496249815936513
2017-08-18,0.0013392590644172528,0.0013392590644172528,0.0018574602132752692,0.0,1.3869312238580962
2017-08-21,0.0012130281435732452,0.0012130281435732452,0.0017219959345972293,0.0,1.419584486741343
2017-08-22,0.006112866683199398,0.00478290203144509,0.00681221162103116,1.108303876461923,1.4242841639331971
2017-08-23,0.0007327433255192406,0.0007327433255192406,0.0010379059714070416,0.0,1.4164659509816142
2017-08-24,0.00019371657951785918,0.00019371657951785918,0.0002747174972818321,0.0,1.4181413793572855
2017-08-25,0.0034187162528945087,0.0034187162528945087,0.0048584167651110274,0.0,1.4211231367907688
2017-08-28,0.004542059588197235,0.004542059588197235,0.00643764741490978,0.0,1.4173410299676215
2017-08-29,-0.0001223320181914153,-0.0001223320181914153,-0.00017332562472151405,0.0,1.4168459515668912
2017-08-30,0.004823638174719443,0.004151231731494257,0.005885224932246757,0.560338702687655,1.417705710716453
2017-08-31,0.0058642278795774955,0.0058642278795774955,0.008434001872304865,0.0,1.4382118235337942
2017-09-01,0.0036512148954834893,0.0036512148954834893,0.005311696134662396,0.0,1.4547749959151686
2017-09-05,-0.010546487246118758,-0.010546487246118758,-0.015372619998890794,0.0,1.4576057070137847
2017-09-06,0.003565503041814789,0.003565503041814789,0.005033430019115151,0.0,1.411702629358355
2017-09-07,0.0014816055496577254,0.0014816055496577254,0.0020860096494766792,0.0,1.4079386041437147
2017-09-08,-0.00299090811313985,-0.00299090811313985,-0.004231276241234538,0.0,1.4147128835705194
2017-09-11,0.011721817035918868,0.011721817035918868,0.01663384879756541,0.0,1.4190503696308112
2017-09-12,0.0026655324324257493,0.0026655324324257493,0.003660947674129668,0.0,1.373439553612202
2017-09-13,0.00014124788037997113,0.00014124788037997113,0.0001947632908407989,0.0,1.3788758480259378
2017-09-14,1.579137651054499e-05,1.579137651054499e-05,2.1787142495348234e-05,0.0,1.3796860888472553
