strategy,CAGR,AnnVol,Sharpe,MaxDD,CVaR_5pct,TerminalWealth
EQ,0.060676271490929246,0.10972509209283747,0.5529844663023072,-0.21880766603245838,-0.017447560823092557,2.3026117510758954
INVVOL,0.06684376328436836,0.10974909407623498,0.6090598181879907,-0.21598216277740545,-0.017402578239321512,2.4996083441908374
MV,0.049541248373947244,0.10960442358516949,0.4520004462725959,-0.2206411843187821,-0.017417797082715115,1.9830169131360407
CVaR,0.0497940263468466,0.10980471941227082,0.4534780163673188,-0.24902787534827953,-0.017349043662235993,1.9897898769350193
HYBRID,0.05023345525858547,0.10970513861423146,0.4578951897160171,-0.22460593855900868,-0.017413030518535315,2.0016151858247873
BENCHMARK,0.0988968386960063,0.12752973406996268,0.7754806313777114,-0.22666708463740226,-0.019554182248214595,3.8010014490572095
