date,gross,net,vt,turnover,scale
2021-07-20,0.011597391312259613,0.011597391312259613,0.010371227506072011,0.0,0.8942724468655789
2021-07-21,0.007235915947126978,0.007235915947126978,0.006513264434801016,0.0,0.9001299189202313
2021-07-22,0.005099530973232694,0.005099530973232694,0.004661802253507418,0.0,0.9141629451761539
2021-07-23,0.007139744279852913,0.007139744279852913,0.0065476666837051625,0.0,0.9170729968833073
2021-07-26,-0.002950164545337693,-0.002950164545337693,-0.0027438121079259767,0.0,0.9300539226743043
2021-07-27,-0.01134583274015039,-0.01134583274015039,-0.010542747004343066,0.0,0.9292175590633042
2021-07-28,0.0075025265157436195,0.0075025265157436195,0.006850826582723115,0.0,0.9131359373868324
2021-07-29,0.004603806907674366,0.003581301014433865,0.003253003961115412,0.8520882443670839,0.9083302263631837
2021-07-30,-0.006905370096966861,-0.006905370096966861,-0.0062665128527181636,0.0,0.9074839964726422
2021-08-02,-0.001447179033161102,-0.001447179033161102,-0.0013284084733610375,0.0,0.9179296016052475
2021-08-03,0.004857494520624061,0.004857494520624061,0.004463352381920069,0.0,0.9188589638072602
2021-08-04,-0.0040825877610275,-0.0040825877610275,-0.0038547453398969735,0.0,0.9441916660541834
2021-08-05,0.010567147206138376,0.010567147206138376,0.00994662016501367,0.0,0.9412777139354841
2021-08-06,-0.0003334720967520492,-0.0003334720967520492,-0.0003109503562062079,0.0,0.9324628934018814
2021-08-09,-0.0013632323705331899,-0.0013632323705331899,-0.0012815138765860585,0.0,0.9400553451388706
2021-08-10,-0.0012497292085048074,-0.0012497292085048074,-0.0012328760757366931,0.0,0.9865145723942248
2021-08-11,0.0017535838928277214,0.0017535838928277214,0.0017391567436613007,0.0,0.9917727636382675
2021-08-12,-0.0004060565817512144,-0.0004060565817512144,-0.0004704785562813806,0.0,1.1586527036511298
2021-08-13,-0.0029299202630253774,-0.0029299202630253774,-0.003426707436847936,0.0,1.1695565507675578
2021-08-16,-0.004932558073108571,-0.004932558073108571,-0.006184896721836513,0.0,1.2538923273008116
2021-08-17,-0.011554291283367978,-0.011554291283367978,-0.01443986923161926,0.0,1.2497407999748955
2021-08-18,-0.007452737951860401,-0.007452737951860401,-0.009002134057214273,0.0,1.2078962275826566
2021-08-19,-0.005855205499572066,-0.005855205499572066,-0.0069963092496167145,0.0,1.1948870539433754
