date,gross,net,vt,turnover,scale
2020-03-20,0.006304430487102742,0.0047243601869777834,0.0022845838925694894,1.3167252501041318,0.4835752995435682
2020-03-23,0.027454734662313077,0.027454734662313077,0.013265096856162582,0.0,0.4831624497311747
2020-03-24,0.02612829632883435,0.02612829632883435,0.012305548871935064,0.0,0.4709663698338821
2020-03-25,0.03240731737000276,0.03174390164857098,0.014628436792306004,0.5528464345264837,0.4608266795384472
2020-03-26,0.04299320020248675,0.04299320020248675,0.019229086902000113,0.0,0.447258794679999
2020-03-27,-0.0006516772806184584,-0.0006516772806184584,-0.00027750527587724937,0.0,0.4258323623218685
2020-03-30,0.025258869281469816,0.025258869281469816,0.01076172839594709,0.0,0.4260574088263726
2020-03-31,-0.018452400235383512,-0.018452400235383512,-0.007742892537522067,0.0,0.41961438288524855
2020-04-01,-0.03332780194004897,-0.03332780194004897,-0.013869510315360285,0.0,0.41615436686491253
2020-04-02,0.020149947293909558,0.019178662917558053,0.007770216368859713,0.8094036469595864,0.4051490138942942
2020-04-03,0.0029807857303406756,0.0029807857303406756,0.0011986618478918552,0.0,0.4021294907886115
2020-04-06,0.038032283562079404,0.038032283562079404,0.015301171376923361,0.0,0.40232060617521265
2020-04-07,-0.0011629939822029975,-0.0018809780833486853,-0.0007339008644993712,0.5983200842880732,0.39016981165076375
2020-04-08,0.017203310091748525,0.017203310091748525,0.006713646887404595,0.0,0.3902532042728661
2020-04-09,0.018628688008268203,0.018628688008268203,0.007230979344805545,0.0,0.3881636399512477
2020-04-13,-0.0054052488484579095,-0.006126572266769924,-0.002364159279350365,0.6011028485933456,0.3858861328011081
2020-04-14,-0.0004758846841562557,-0.0004758846841562557,-0.00018350956985024769,0.0,0.385617726226282
2020-04-15,-0.002952848033994631,-0.002952848033994631,-0.0011400323388589904,0.0,0.38607890610501466
2020-04-16,0.0037517646228351154,0.0027121652884964076,0.0010468254798020671,0.8663327786155899,0.3859740718023918
2020-04-17,0.005799076694973962,0.005799076694973962,0.002238203162563045,0.0,0.3859585379346486
2020-04-20,-0.013397580309061102,-0.013397580309061102,-0.005174802364096114,0.0,0.38624902741551564
2020-04-21,-0.019342879737799773,-0.019845656298642468,-0.007632574575553128,0.4189804673689136,0.38459673294227265
2020-04-22,0.009266458597300868,0.009266458597300868,0.003540857435072363,0.0,0.38211549729513095
2020-04-23,-0.0034552789152177436,-0.0034552789152177436,-0.001318452756292775,0.0,0.38157636145841767
2020-04-24,-0.000644254967164102,-0.001377673429991877,-0.0005256110565581246,0.6111820523564793,0.38152079086059143
2020-04-27,0.0010736743826663753,0.0010736743826663753,0.00041027800237574866,0.0,0.3821251666234781
2020-04-28,0.003869927720988642,0.003869927720988642,0.0014931287783424509,0.0,0.3858285957756866
2020-04-29,0.009414584601252642,0.008596658756203147,0.0033215360547555173,0.6816048708745792,0.3863752358855439
