date,gross,net,vt,turnover,scale
2023-11-02,0.017389608198718265,0.016789608198718265,0.016677257814922256,0.5,0.9933083379632058
2023-11-03,0.0072656129064048725,0.0072656129064048725,0.006895901104618229,0.0,0.9491148501097918
2023-11-06,-0.0069688950842956565,-0.0069688950842956565,-0.006572562229819182,0.0,0.9431283080484871
2023-11-07,-0.006209013975694205,-0.007409013975694205,-0.0069957784960173,1.0,0.9442253070337628
2023-11-08,-0.005839865759346224,-0.005839865759346224,-0.005508575833586566,0.0,0.9432709689894059
2023-11-09,-0.005450870015178799,-0.005450870015178799,-0.005132207514110769,0.0,0.9415391487632865
2023-11-10,0.002694942472227596,0.0014949424722275962,0.0014087521778163143,1.0,0.9423454106010843
2023-11-13,-0.0028774565533403185,-0.0028774565533403185,-0.0027189391901236847,0.0,0.9449105971617129
2023-11-14,0.028652862541958313,0.028652862541958313,0.027395396974455623,0.0,0.9561137891314944
2023-11-15,0.00194156388344488,-0.0004584361165551197,-0.00039836452235968677,2.0,0.8689640889403828
2023-11-16,-0.005949043323343478,-0.005949043323343478,-0.0051820667661088395,0.0,0.8710756477053889
2023-11-17,0.01161823411335644,0.01161823411335644,0.010097715732557392,0.0,0.8691265500450671
2023-11-20,0.003837917869041141,0.003837917869041141,0.003283113014890309,0.0,0.855441186319747
2023-11-21,-0.0045405248438254164,-0.0045405248438254164,-0.0038785306955178133,0.0,0.8542031656961776
2023-11-22,0.0017257513641885935,0.0017257513641885935,0.0015178855182972897,0.0,0.8795505249453838
2023-11-24,0.008478824391257578,0.008478824391257578,0.007509605121731864,0.0,0.8856894275903314
2023-11-27,-0.003715084110003819,-0.003715084110003819,-0.0032691672561377203,0.0,0.8799712629209786
2023-11-28,-0.00039806546936166365,-0.00039806546936166365,-0.00035326214825804074,0.0,0.8874473558948247
2023-11-29,0.0024868514397581587,0.0024868514397581587,0.0022347591510454103,0.0,0.8986299363595021
2023-11-30,0.0025565556056269534,0.0025565556056269534,0.0022956682248473042,0.0,0.8979535668203583
2023-12-01,0.015053268477013881,0.015053268477013881,0.013520278292647304,0.0,0.8981623036414031
2023-12-04,-0.0013675635318164958,-0.0025675635318164955,-0.0022433194171753387,1.0,0.8737152515903818
2023-12-05,-0.006483408356538101,-0.006483408356538101,-0.005719853706992006,0.0,0.8822294374260572
2023-12-06,0.0011735880289552025,0.0011735880289552025,0.001034208157782244,0.0,0.8812361171602587
2023-12-07,0.004719321147873767,0.004719321147873767,0.004170809297719041,0.0,0.8837731459742147
2023-12-08,0.002320337603855027,0.002320337603855027,0.0020446265188851223,0.0,0.8811763061927557
2023-12-11,0.005394976023928799,0.005394976023928799,0.004764382635872762,0.0,0.8831147005549028
2023-12-12,0.0007578857303427167,0.0007578857303427167,0.000666823961996848,0.0,0.8798476278149604
2023-12-13,0.01987124050481065,0.01987124050481065,0.017499681664479134,0.0,0.8806537095780516
2023-12-14,0.0093778194412599,0.0093778194412599,0.00794758830018415,0.0,0.8474878781752703
2023-12-15,-0.005575215375314718,-0.005575215375314718,-0.004696867003386004,0.0,0.8424548088639299
2023-12-18,0.00047143472848443224,0.00047143472848443224,0.0003959313912474843,0.0,0.8398434975724509
2023-12-19,0.008982651590277668,0.008982651590277668,0.0075470106040640104,0.0,0.840176258448283
2023-12-20,-0.013592477623123461,-0.014792477623123461,-0.012434319671874527,1.0,0.8405839771180263
2023-12-21,0.012012992272703915,0.012012992272703915,0.010250624534856097,0.0,0.8532948579470666
2023-12-22,0.0034880967074222835,0.0034880967074222835,0.002937069390146809,0.0,0.8420263646638726
2023-12-26,0.00710915714597149,0.00710915714597149,0.005993950009221243,0.0,0.8431308924740544
2023-12-27,0.0031788571712810243,0.0031788571712810243,0.0027178653092309025,0.0,0.854981889021346
2023-12-28,-0.002040825957802722,-0.002040825957802722,-0.0017584616733657867,0.0,0.8616421535813147
2023-12-29,-0.005268191501208247,-0.005268191501208247,-0.004560426526062344,0.0,0.8656531420728387
2024-01-02,-0.007911730565577924,-0.007911730565577924,-0.006826417155124351,0.0,0.8628222483743929
2024-01-03,-0.011220812547931475,-0.011220812547931475,-0.010201105359366143,0.0,0.9091235876003194
2024-01-04,-0.0007916957219135101,-0.0007916957219135101,-0.0007146244968212638,0.0,0.902650446429132
2024-01-05,-0.000524199660461383,-0.000524199660461383,-0.0004731426802193565,0.0,0.9026001272166261
2024-01-08,0.013422094299919751,0.013422094299919751,0.01213380731730696,0.0,0.9040174391696463
2024-01-09,-0.005840153971504752,-0.007640153971504752,-0.006796553375062848,1.5,0.8895832990292794
2024-01-10,0.004324526189342537,0.004324526189342537,0.003834943094173563,0.0,0.8867891940681238
2024-01-11,-0.0024722888295641843,-0.0024722888295641843,-0.002197389355117915,0.0,0.8888077027412978
2024-01-12,0.00015678724249212905,0.00015678724249212905,0.00013997905657985688,0.0,0.8927962145063176
2024-01-16,-0.009605858207193202,-0.009605858207193202,-0.008836736702238357,0.0,0.9199320364338816
2024-01-17,-0.0060761152919975026,-0.0060761152919975026,-0.005559423754607424,0.0,0.9149635066881331
2024-01-18,0.009150742423362834,0.009150742423362834,0.008323652155467706,0.0,0.9096149547621974
2024-01-19,0.00926344399849982,0.00926344399849982,0.0083920971647648,0.0,0.9059370538780035
2024-01-22,0.006364683786188985,0.006364683786188985,0.005759323757906395,0.0,0.9048876505701371
2024-01-23,0.00047403541259627424,0.00047403541259627424,0.0004350471277291654,0.0,0.9177523791870918
2024-01-24,0.0030249111781945615,0.0030249111781945615,0.002791300134383011,0.0,0.9227709410128918
2024-01-25,0.006165161290304477,0.006165161290304477,0.005729106434348729,0.0,0.9292711357541447
2024-01-26,-0.001096793662183737,-0.002896793662183737,-0.0027182372071168194,1.5,0.9383606580620887
2024-01-29,0.008975628801046132,0.008975628801046132,0.008525881628261501,0.0,0.9498924050054062
2024-01-30,-0.0036123054548420908,-0.0036123054548420908,-0.0034470541830344706,0.0,0.9542532396904281
2024-01-31,-0.011827643947693589,-0.011827643947693589,-0.011354825430784159,0.0,0.960024285563514
2024-02-01,0.012392599433993678,0.012392599433993678,0.0116202176179268,0.0,0.9376739464403097
2024-02-02,0.005279903427426846,0.005279903427426846,0.0048855548984252425,0.0,0.9253114125244921
2024-02-05,-0.003845037971443116,-0.003845037971443116,-0.003575140406466005,0.0,0.9298062679792436
2024-02-06,0.0031877182665193404,0.0031877182665193404,0.0030390123334090866,0.0,0.9533503526104817
2024-02-07,0.005719848842042852,0.005719848842042852,0.005474795842408979,0.0,0.9571574343306681
2024-02-08,-0.0007571577798993201,-0.0007571577798993201,-0.0007298258206161367,0.0,0.9639018973207701
2024-02-09,0.0056002339860152794,0.0056002339860152794,0.005452924581291044,0.0,0.9736958482284684
2024-02-12,-0.0015262554106761916,-0.0015262554106761916,-0.001494909463004688,0.0,0.9794621873559052
2024-02-13,-0.01754994914210456,-0.01874994914210456,-0.018471332712289245,1.0,0.9851404167710696
2024-02-14,0.012456405066663123,0.012456405066663123,0.011618426464293514,0.0,0.9327270911723738
2024-02-15,0.00758182635010074,0.00758182635010074,0.006992229689831783,0.0,0.9222355362621668
2024-02-16,0.0007582054333679644,0.0007582054333679644,0.0007656940352603772,0.0,1.0098767452234525
2024-02-20,0.0014965613253800636,0.0014965613253800636,0.0015120830060388864,0.0,1.010371563393756
2024-02-21,-0.0005404029610683037,-0.0005404029610683037,-0.0005505658155826059,0.0,1.018806067409793
2024-02-22,0.015683559428250504,0.015683559428250504,0.016208765843390902,0.0,1.0334877052331854
2024-02-23,0.00020150170131702505,0.00020150170131702505,0.00020241754510855683,0.0,1.0045450921036685
2024-02-26,-0.0017001479393084773,-0.0017001479393084773,-0.0017168916612697934,0.0,1.009848391174786
2024-02-27,0.00243549694170464,0.00243549694170464,0.002455355281850755,0.0,1.0081537117974027
2024-02-28,-0.007801558491227073,-0.007801558491227073,-0.007917691576090293,0.0,1.0148858827366112
2024-02-29,0.0038186871696390123,0.0038186871696390123,0.0038422545048755834,0.0,1.0061715804907891
2024-03-01,0.009302439633760484,0.008102439633760485,0.008151010959577301,1.0,1.0059946544512883
2024-03-04,-0.0011141314053298157,-0.0011141314053298157,-0.001114300975040438,0.0,1.0001521990223157
2024-03-05,-0.010292298820446993,-0.010292298820446993,-0.010283887701940634,0.0,0.9991827755243902
