date,gross,net,vt,turnover,scale
2020-02-04,0.018179356987771823,0.018179356987771823,0.022092566952200878,0.0,1.2152556862743407
2020-02-05,0.008939719489938342,0.008939719489938342,0.010398757428410276,0.0,1.1632084698087095
2020-02-06,-0.00051766432396862,-0.00051766432396862,-0.0005991314078691581,0.0,1.1573743449731655
2020-02-07,-0.011304143399840434,-0.011304143399840434,-0.013094342717337459,0.0,1.1583666496589466
2020-02-10,0.005732778287232619,0.005732778287232619,0.006480736058423239,0.0,1.1304703816745165
2020-02-11,0.0076378608891895135,0.0076378608891895135,0.008612438303652088,0.0,1.1275982148145658
2020-02-12,0.008660095432474438,0.008660095432474438,0.00972835576630656,0.0,1.1233543373928951
2020-02-13,-0.0036684498228060462,-0.0036684498228060462,-0.004087151478911665,0.0,1.1141358547424123
2020-02-14,-0.002503133244429467,-0.002503133244429467,-0.0027807447211568885,0.0,1.110905592958435
2020-02-18,-0.0035601308981357315,-0.0035601308981357315,-0.003965457427484858,0.0,1.1138515804464875
2020-02-19,0.005442528322828794,0.005442528322828794,0.006049237568426244,0.0,1.1114756248585047
2020-02-20,-0.00795231303142575,-0.00904084971412581,-0.010053155429489279,0.9071139022500503,1.111970196095816
2020-02-21,-0.005180594656268122,-0.005180594656268122,-0.005672204139692479,0.0,1.09489441194353
2020-02-24,-0.03701164923798589,-0.03701164923798589,-0.040300683262590266,0.0,1.0888648328923631
2020-02-25,-0.01818472197910931,-0.019384721979109308,-0.017480728618146934,1.0,0.9017786603793293
2020-02-26,0.0025039002953660128,0.0025039002953660128,0.00216810968594171,0.0,0.8658929790272589
2020-02-27,-0.022519385138743298,-0.022519385138743298,-0.01949217624406101,0.0,0.8655731994443245
2020-02-28,-0.01677697751840157,-0.01857697751840157,-0.015449919452314704,1.5,0.8316702454428158
2020-03-02,0.027621812992379452,0.027621812992379452,0.022302840875139358,0.0,0.8074358073922396
2020-03-03,0.005267681059700435,0.005267681059700435,0.003972635126216349,0.0,0.7541525542630834
2020-03-04,0.02424992891232841,0.02424992891232841,0.018320751255647433,0.0,0.755497111842392
2020-03-05,0.00306120353715314,0.00306120353715314,0.0022153465096672585,0.0,0.723684813107033
2020-03-06,0.009099148805992191,0.009099148805992191,0.006608995208930687,0.0,0.7263311491925896
2020-03-09,-0.04831995085279637,-0.049399950852796366,-0.03576726309476075,0.8999999999999999,0.7240343862151045
2020-03-10,0.018230864491699174,0.018230864491699174,0.011322911269600472,0.0,0.6210847145924423
2020-03-11,-0.029843844404126168,-0.029843844404126168,-0.01827517823744715,0.0,0.6123600562305722
2020-03-12,-0.029882757936015296,-0.032282757936015295,-0.01893574092491561,2.0000000000000004,0.586558960124981
2020-03-13,0.017684455985676237,0.017684455985676237,0.009916368591871356,0.0,0.5607392503282687
2020-03-16,-0.024947688409988726,-0.024947688409988726,-0.013804315136150545,0.0,0.5533304292282037
2020-03-17,0.05416037882627246,0.05239279835241767,0.028524032059874735,1.4729837282123301,0.5444265806916666
2020-03-18,-0.042619794821493154,-0.042619794821493154,-0.020827014054665968,0.0,0.48866997464199213
2020-03-19,-0.01949186723889803,-0.01949186723889803,-0.00904134580946272,0.0,0.4638522158318308
2020-03-20,-0.021724857857756408,-0.022652438331611204,-0.010423361985731265,0.7729837282123302,0.46014304655166366
2020-03-23,-0.011929102029673327,-0.011929102029673327,-0.005425767290167438,0.0,0.45483451115356255
2020-03-24,0.04651628152755629,0.04651628152755629,0.0211223041158597,0.0,0.4540841060854537
2020-03-25,0.023453091036707965,0.022062633658391492,0.009393257678687759,1.1587144819303945,0.42575414268890094
